name,image,rating,ratings_count,genres,platforms,tags,features
SpeedRunners,https://media.rawg.io/media/games/9e5/9e52a797f049e701d4eee84774a99007.jpg,3.75,522,Action|Sports|Racing|Casual|Indie,PlayStation 4|PC|macOS|Linux|Nintendo Switch|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Co-op|cooperative|2D|Funny|Online multiplayer|Split Screen|Local Co-Op|Controller|Local Multiplayer|stats|Steam Workshop|Cross-Platform Multiplayer|Includes level editor|Fast-Paced|Parkour|Competitive|4 Player Local|Superhero|party|Level Editor|4 giocatori divano,action sports racing casual indie playstation_4 pc macos linux nintendo_switch xbox_one singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards co-op cooperative 2d funny online_multiplayer split_screen local_co-op controller local_multiplayer stats steam_workshop cross-platform_multiplayer includes_level_editor fast-paced parkour competitive 4_player_local superhero party level_editor 4_giocatori_divano
Dirty Bomb,https://media.rawg.io/media/screenshots/616/616437f375a1080756c917b1437404f3.jpg,2.72,378,Action|Shooter,PC,Singleplayer|Steam Achievements|Multiplayer|steam-trading-cards|Co-op|Open World|cooperative|First-Person|FPS|Gore|Female Protagonist|Free to Play|Controller|PvP|Post-apocalyptic|Team-Based|Fast-Paced|Parkour|Competitive|Class-Based,action shooter pc singleplayer steam_achievements multiplayer steam-trading-cards co-op open_world cooperative first-person fps gore female_protagonist free_to_play controller pvp post-apocalyptic team-based fast-paced parkour competitive class-based
The Surge,https://media.rawg.io/media/games/396/3963e0df75c22d5995368ec43dacc19e.jpg,3.19,596,Action|RPG,PC|PlayStation 4|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|RPG|Open World|Third Person|Sci-fi|Horror|Gore|Exploration|Difficult|Violent|Hack and Slash|Cyberpunk|Robots|Souls-like|Mechs,action rpg pc playstation_4 xbox_one singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards rpg open_world third_person sci-fi horror gore exploration difficult violent hack_and_slash cyberpunk robots souls-like mechs
The Order: 1886,https://media.rawg.io/media/games/c5b/c5b3b6aa220050f7f504f4477cb51d3b.jpg,3.76,984,Action|Adventure,PlayStation 4,Singleplayer|Atmospheric|Exploration|Stealth|Action-Adventure|Nudity|Mature|Cinematic|true exclusive|3rd-Person Perspective|Steampunk|Alternate History|exclusives,action adventure playstation_4 singleplayer atmospheric exploration stealth action-adventure nudity mature cinematic true_exclusive 3rd-person_perspective steampunk alternate_history exclusives
Need for Speed Payback,https://media.rawg.io/media/games/a57/a57e3c73ca46cbf55b526c828e3545c0.jpg,3.2,738,Racing|Arcade,PC|PlayStation 4|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Atmospheric|Co-op|Open World|cooperative|First-Person|Third Person|Online Co-Op|Sandbox|Controller|PvP|Cinematic|Online PvP|Driving|Offroad|Vehicular Combat|street racing,racing arcade pc playstation_4 xbox_one singleplayer steam_achievements multiplayer atmospheric co-op open_world cooperative first-person third_person online_co-op sandbox controller pvp cinematic online_pvp driving offroad vehicular_combat street_racing
Need for Speed,https://media.rawg.io/media/games/19a/19a512a8c1293c22894b7364e1405ec1.jpg,3.38,820,Racing|Arcade,PlayStation 4|PC|Xbox One,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Co-op|Open World|cooperative|First-Person|Third Person|Online Co-Op|PvP|Online PvP|Top-Down|Steam Trading Cards|Driving|Destruction|Movie|street racing,racing arcade playstation_4 pc xbox_one singleplayer steam_achievements multiplayer full_controller_support co-op open_world cooperative first-person third_person online_co-op pvp online_pvp top-down steam_trading_cards driving destruction movie street_racing
Alpha Protocol,https://media.rawg.io/media/games/8b9/8b9e77be7f0f7941b11ae4b21ca2db43.jpg,3.54,452,Action|Shooter|RPG,PC|PlayStation 3|Xbox 360,Singleplayer|Atmospheric|RPG|Story Rich|Third Person|Stealth|Action RPG|Third-Person Shooter|Character Customization|Choices Matter|Multiple Endings|Romance|Cult Classic|Modern,action shooter rpg pc playstation_3 xbox_360 singleplayer atmospheric rpg story_rich third_person stealth action_rpg third-person_shooter character_customization choices_matter multiple_endings romance cult_classic modern
Dungeons 2,https://media.rawg.io/media/games/476/4767c380895fd35a4f1b59016dc45967.jpg,2.84,269,RPG|Strategy|Simulation,PlayStation 4|iOS|PC|macOS|Linux,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|steam-trading-cards|RPG|Partial Controller Support|Fantasy|Funny|Comedy|Cross-Platform Multiplayer|RTS|Competitive|Top-Down|Management|Dungeon Crawler|achievements|Villain Protagonist,rpg strategy simulation playstation_4 ios pc macos linux singleplayer steam_achievements multiplayer steam_cloud steam-trading-cards rpg partial_controller_support fantasy funny comedy cross-platform_multiplayer rts competitive top-down management dungeon_crawler achievements villain_protagonist
ArmA II,https://media.rawg.io/media/screenshots/c38/c38595cc04bdddaa84ed8feae5319849.jpg,3.19,286,Action|Strategy|Simulation,PC,Singleplayer|Multiplayer|Co-op|Open World|cooperative|First-Person|Third Person|Partial Controller Support|FPS|Sandbox|Tactical|Third-Person Shooter|Zombies|Includes level editor|Moddable|War|Captions available|Realistic|Military|TrackIR,action strategy simulation pc singleplayer multiplayer co-op open_world cooperative first-person third_person partial_controller_support fps sandbox tactical third-person_shooter zombies includes_level_editor moddable war captions_available realistic military trackir
Tomb Raider: Definitive Edition,https://media.rawg.io/media/games/08e/08e8d09cd5aae30959c4486649fda3e6.jpg,4.1,356,Action|Adventure,PlayStation 4|Xbox One|macOS|Xbox 360|PlayStation 3|PC,Multiplayer|Story|puzzles|Epic|fight|weapons|explore|island|history|escape,action adventure playstation_4 xbox_one macos xbox_360 playstation_3 pc multiplayer story puzzles epic fight weapons explore island history escape
Code Vein,https://media.rawg.io/media/games/16a/16a81cc458b0acb6ed2bcfd2a10f1527.jpg,3.52,357,Action|RPG,Xbox One|PC|PlayStation 4,Singleplayer|Steam Achievements|Multiplayer|RPG|Co-op|cooperative|Third Person|Partial Controller Support|Online Co-Op|Gore|Difficult|Violent|Action RPG|Anime|Nudity|Hack and Slash|Character Customization|Dark Fantasy|Sexual Content|JRPG|Souls-like|Vampire,action rpg xbox_one pc playstation_4 singleplayer steam_achievements multiplayer rpg co-op cooperative third_person partial_controller_support online_co-op gore difficult violent action_rpg anime nudity hack_and_slash character_customization dark_fantasy sexual_content jrpg souls-like vampire
ENSLAVED: Odyssey to the West Premium Edition,https://media.rawg.io/media/games/780/7804a1ce365e2c30d51007b910b14acf.jpg,3.97,362,Action|Adventure,PlayStation 3|Xbox 360|PC,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|Open World|Third Person|Sci-fi|Female Protagonist|Action-Adventure|Controller|Hack and Slash|Post-apocalyptic|Parkour|Robots|Linear|3D Vision|3D Platformer,action adventure playstation_3 xbox_360 pc singleplayer steam_achievements full_controller_support steam_cloud atmospheric great_soundtrack story_rich open_world third_person sci-fi female_protagonist action-adventure controller hack_and_slash post-apocalyptic parkour robots linear 3d_vision 3d_platformer
RimWorld,https://media.rawg.io/media/screenshots/4d8/4d85fbe90066fdbef295a618640c4a82.jpg,4.36,610,Strategy|Simulation|Indie,macOS|PC|Linux,Singleplayer|Steam Cloud|Atmospheric|Great Soundtrack|Open World|2D|Sci-fi|Sandbox|Survival|Pixel Graphics|Early Access|Steam Workshop|Space|Moddable|Crafting|Building|Management|Base Building|Colony Sim,strategy simulation indie macos pc linux singleplayer steam_cloud atmospheric great_soundtrack open_world 2d sci-fi sandbox survival pixel_graphics early_access steam_workshop space moddable crafting building management base_building colony_sim
Sid Meier's Civilization IV,https://media.rawg.io/media/screenshots/85c/85c91c5064d2cdd56a949c8008868318.jpg,4.11,371,Strategy,PC|macOS,Singleplayer|Multiplayer|Great Soundtrack|Classic|Tactical|Includes level editor|Moddable|War|Turn-Based|Replay Value|Historical|Turn-Based Strategy|Resource Management|Economy|Grand Strategy|4X,strategy pc macos singleplayer multiplayer great_soundtrack classic tactical includes_level_editor moddable war turn-based replay_value historical turn-based_strategy resource_management economy grand_strategy 4x
The Ascent,https://media.rawg.io/media/games/3f4/3f43f03406a5ea087352bf32d60e3a0a.jpg,3.33,317,Action|Adventure|RPG|Indie,PlayStation 5|Xbox Series S/X|PlayStation 4|PC|Xbox One,Singleplayer|Multiplayer|Full controller support|RPG|Co-op|Online Co-Op|Gore|Violent|Split Screen|Action RPG|Futuristic|Cyberpunk|Dystopian|Top-Down Shooter|Remote Play Together|Shared/Split Screen Co-op,action adventure rpg indie playstation_5 xbox_series_s/x playstation_4 pc xbox_one singleplayer multiplayer full_controller_support rpg co-op online_co-op gore violent split_screen action_rpg futuristic cyberpunk dystopian top-down_shooter remote_play_together shared/split_screen_co-op
Dark Souls II,https://media.rawg.io/media/games/651/6512783a214618584d144d5d852ba595.jpg,4.03,741,Action|RPG,PlayStation 4|Xbox One|PC|Xbox 360|PlayStation 3,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Atmospheric|RPG|Co-op|Open World|cooperative|Third Person|Horror|Online Co-Op|Fantasy|Exploration|Difficult|Action RPG|Dark|PvP|Replay Value|Dark Fantasy|Medieval,action rpg playstation_4 xbox_one pc xbox_360 playstation_3 singleplayer steam_achievements multiplayer full_controller_support atmospheric rpg co-op open_world cooperative third_person horror online_co-op fantasy exploration difficult action_rpg dark pvp replay_value dark_fantasy medieval
"Invisible, Inc.",https://media.rawg.io/media/games/849/849c187c0b5d4cd1ee3283148f7e4cdb.jpg,3.53,346,Adventure|Strategy,iOS|Nintendo Switch|PlayStation 4|Linux|macOS|PC,Singleplayer|Great Soundtrack|Sci-fi|Difficult|Female Protagonist|Stealth|Tactical|Turn-Based|Roguelike|Isometric|Turn-Based Strategy|Cyberpunk|Roguelite|Procedural Generation|Turn-Based Tactics|Perma Death,adventure strategy ios nintendo_switch playstation_4 linux macos pc singleplayer great_soundtrack sci-fi difficult female_protagonist stealth tactical turn-based roguelike isometric turn-based_strategy cyberpunk roguelite procedural_generation turn-based_tactics perma_death
Fable: The Lost Chapters,https://media.rawg.io/media/games/aa2/aa25254dbfa5b2073595bf69d8c8bac4.jpg,4.43,825,Action|Adventure|RPG,Xbox|PC|macOS,Singleplayer|Atmospheric|Great Soundtrack|RPG|Story Rich|Open World|Third Person|Fantasy|Exploration|Classic|Comedy|Action RPG|Character Customization|Replay Value|Choices Matter|Dark Fantasy|Medieval|Magic,action adventure rpg xbox pc macos singleplayer atmospheric great_soundtrack rpg story_rich open_world third_person fantasy exploration classic comedy action_rpg character_customization replay_value choices_matter dark_fantasy medieval magic
Ashes of the Singularity: Escalation,https://media.rawg.io/media/screenshots/651/651f338d5c03b8c650543629ce486a52.jpg,2.41,68,RPG|Strategy|Simulation|Indie,PC,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|steam-trading-cards|RPG|Co-op|cooperative|Sci-fi|Online Co-Op|Online multiplayer|stats|Space|Futuristic|RTS|overlay|achievements|Real Time Tactics|Benchmark,rpg strategy simulation indie pc singleplayer steam_achievements multiplayer steam_cloud steam-trading-cards rpg co-op cooperative sci-fi online_co-op online_multiplayer stats space futuristic rts overlay achievements real_time_tactics benchmark
10 Second Ninja X,https://media.rawg.io/media/screenshots/085/0851d86b5e8250ee33af5ab56544989b.jpg,2.51,166,Action|Indie,Xbox One|PlayStation 4|PS Vita|PC,Singleplayer|Steam Achievements|Full controller support|steam-trading-cards|Steam Leaderboards|Puzzle-Platformer,action indie xbox_one playstation_4 ps_vita pc singleplayer steam_achievements full_controller_support steam-trading-cards steam_leaderboards puzzle-platformer
Jagged Alliance 1: Gold Edition,https://media.rawg.io/media/screenshots/c98/c98c214657f024107f438d0eaa501d9f.jpg,2.45,92,Action|RPG|Strategy,macOS|PC|Linux,Singleplayer|Multiplayer|RPG|Classic|Tactical|Retro|Turn-Based|Turn-Based Strategy|Turn-Based Tactics,action rpg strategy macos pc linux singleplayer multiplayer rpg classic tactical retro turn-based turn-based_strategy turn-based_tactics
Legend of Grimrock,https://media.rawg.io/media/games/237/237711d80fbd1658218271e362d85287.jpg,3.8,297,Adventure|RPG|Indie,PC|Linux|iOS|macOS,Singleplayer|Steam Achievements|Atmospheric|RPG|First-Person|Fantasy|Difficult|Tactical|Retro|Steam Workshop|role-playing|Includes level editor|Moddable|Character Customization|Replay Value|Roguelike|Dungeon Crawler|Party-Based RPG|Level Editor|Real-Time|Grid-Based Movement,adventure rpg indie pc linux ios macos singleplayer steam_achievements atmospheric rpg first-person fantasy difficult tactical retro steam_workshop role-playing includes_level_editor moddable character_customization replay_value roguelike dungeon_crawler party-based_rpg level_editor real-time grid-based_movement
Fractured Space,https://media.rawg.io/media/games/e10/e10258b8e132c269dd2b0faeba0d8057.jpg,2.4,156,Action|Strategy|Indie,PC,Singleplayer|Steam Achievements|Multiplayer|Co-op|Open World|Sci-fi|Online Co-Op|Steam Leaderboards|Sandbox|Survival|Free to Play|Online multiplayer|Tactical|PvP|Space|In-App Purchases|Team-Based|Competitive|MOBA|Space Sim,action strategy indie pc singleplayer steam_achievements multiplayer co-op open_world sci-fi online_co-op steam_leaderboards sandbox survival free_to_play online_multiplayer tactical pvp space in-app_purchases team-based competitive moba space_sim
Rage 2,https://media.rawg.io/media/games/662/66261db966238da20c306c4b78ae4603.jpg,3.24,708,Action|Shooter|Racing,PlayStation 4|Xbox One|PC,Singleplayer|Multiplayer|Atmospheric|Open World|cooperative|First-Person|Sci-fi|FPS|Gore|Exploration|Survival|Violent|Action-Adventure|Post-apocalyptic|Futuristic|Dystopian|Driving|Blood|America|weapons|Monsters|guns|first person shooter|wasteland|Unforgiving|mutants|monster-trucks|factions|gangs|powers|sadistic|gyrocopters|madmen,action shooter racing playstation_4 xbox_one pc singleplayer multiplayer atmospheric open_world cooperative first-person sci-fi fps gore exploration survival violent action-adventure post-apocalyptic futuristic dystopian driving blood america weapons monsters guns first_person_shooter wasteland unforgiving mutants monster-trucks factions gangs powers sadistic gyrocopters madmen
Superbrothers: Sword & Sworcery,https://media.rawg.io/media/screenshots/db5/db5ab0d41a2a57274902d32ea8e6f1ec.jpg,3.5,271,Adventure|RPG|Indie,Nintendo Switch|Android|iOS|PC|Linux|macOS,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|Great Soundtrack|Story Rich|2D|Fantasy|Exploration|Female Protagonist|Pixel Graphics|Retro|Space|Point & Click|Relaxing|Music|battle|Touch-Friendly|art|sword|wizards|mobile,adventure rpg indie nintendo_switch android ios pc linux macos singleplayer steam_achievements steam_cloud atmospheric great_soundtrack story_rich 2d fantasy exploration female_protagonist pixel_graphics retro space point_&_click relaxing music battle touch-friendly art sword wizards mobile
Two Worlds Epic Edition,https://media.rawg.io/media/screenshots/6e5/6e504144ccbbc5c194c7f6cd6f544aaf.jpg,2.79,184,RPG,Linux|macOS|PC,Singleplayer|Multiplayer|steam-trading-cards|RPG|Story Rich|Open World|Third Person|Partial Controller Support|Online Co-Op|Fantasy|Online multiplayer|Action RPG|Cross-Platform Multiplayer|Medieval,rpg linux macos pc singleplayer multiplayer steam-trading-cards rpg story_rich open_world third_person partial_controller_support online_co-op fantasy online_multiplayer action_rpg cross-platform_multiplayer medieval
Grow Home,https://media.rawg.io/media/screenshots/b4d/b4df87a9b3f9867d0bfd9c1910193008.jpg,3.48,381,Adventure|Casual|Indie,PlayStation 4|Linux|PC,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|Open World|Third Person|Funny|Exploration|Sandbox|Controller|Cute|Short|Physics|Parkour|Relaxing|Robots|3D Platformer,adventure casual indie playstation_4 linux pc singleplayer steam_achievements full_controller_support steam_cloud atmospheric steam-trading-cards great_soundtrack open_world third_person funny exploration sandbox controller cute short physics parkour relaxing robots 3d_platformer
Raft,https://media.rawg.io/media/games/6b2/6b253d2d39fc05b2368e5e78bb4abffc.jpg,3.89,439,Adventure,PC,Singleplayer|Multiplayer|cooperative|Online Co-Op|Survival|Online multiplayer|Early Access,adventure pc singleplayer multiplayer cooperative online_co-op survival online_multiplayer early_access
Brink,https://media.rawg.io/media/games/55c/55c7e7a972d361db3677c1dd10a5558d.jpg,2.72,404,Action|Shooter,PC|PlayStation 3|Xbox 360,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Atmospheric|Co-op|Open World|cooperative|First-Person|Sci-fi|FPS|Online Co-Op|Steam Leaderboards|Free to Play|Tactical|Character Customization|Post-apocalyptic|Team-Based|Parkour|Class-Based|Gun Customization,action shooter pc playstation_3 xbox_360 singleplayer steam_achievements multiplayer steam_cloud atmospheric co-op open_world cooperative first-person sci-fi fps online_co-op steam_leaderboards free_to_play tactical character_customization post-apocalyptic team-based parkour class-based gun_customization
Overlord: Raising Hell,https://media.rawg.io/media/games/f8c/f8c181db845de856e519558451b8e481.jpg,3.71,206,RPG,Xbox 360|PlayStation 3|PC|macOS|Linux,Singleplayer|RPG|Third Person|Partial Controller Support|Fantasy|Funny|Comedy|Action-Adventure|Action RPG|Villain Protagonist,rpg xbox_360 playstation_3 pc macos linux singleplayer rpg third_person partial_controller_support fantasy funny comedy action-adventure action_rpg villain_protagonist
Dragon Age: Origins - Ultimate Edition,https://media.rawg.io/media/games/add/add07a75a3f1e479b55dbe920d9fb13d.jpg,4.44,480,RPG,PC|Xbox 360|PlayStation 3,Singleplayer|RPG|Story Rich|Open World|Third Person|Fantasy|Classic|Female Protagonist|Tactical|role-playing|Moddable|Character Customization|Choices Matter|Dark Fantasy|Mature|Multiple Endings|Real-Time with Pause|Dragons|Протагонистка|Party-Based RPG|Tactical RPG|Well-Written|multiple-choice,rpg pc xbox_360 playstation_3 singleplayer rpg story_rich open_world third_person fantasy classic female_protagonist tactical role-playing moddable character_customization choices_matter dark_fantasy mature multiple_endings real-time_with_pause dragons протагонистка party-based_rpg tactical_rpg well-written multiple-choice
DISTRAINT,https://media.rawg.io/media/screenshots/b4c/b4c8dd2f639bf2e8b84b2f1c365406e0.jpg,3.06,246,Adventure|Casual|Indie,PC,Singleplayer|Steam Achievements|Atmospheric|steam-trading-cards|Story Rich|2D|Partial Controller Support|Horror|Pixel Graphics|Point & Click,adventure casual indie pc singleplayer steam_achievements atmospheric steam-trading-cards story_rich 2d partial_controller_support horror pixel_graphics point_&_click
Pyre,https://media.rawg.io/media/games/e63/e635b8c7fbe3ffd69ad6c1c586cd250e.jpg,4.17,482,Adventure|RPG|Sports|Arcade|Indie,PlayStation 4|macOS|Linux|PC,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|2D|Fantasy|Local Multiplayer|Captions available|Choices Matter|Multiple Endings|Visual Novel|Hand-drawn|Party-Based RPG,adventure rpg sports arcade indie playstation_4 macos linux pc singleplayer steam_achievements multiplayer full_controller_support steam_cloud atmospheric steam-trading-cards great_soundtrack rpg story_rich 2d fantasy local_multiplayer captions_available choices_matter multiple_endings visual_novel hand-drawn party-based_rpg
Space Engineers,https://media.rawg.io/media/screenshots/ac7/ac707457a89f1f7d15ef5934a26ea21a.jpg,3.52,269,Action|Strategy|Simulation|Indie,Xbox One|PC,Singleplayer|Steam Achievements|Multiplayer|Atmospheric|Co-op|Open World|cooperative|Sci-fi|Partial Controller Support|Sandbox|Survival|Early Access|Steam Workshop|Space|Includes level editor|Crafting|Physics|Futuristic|Building|Destruction,action strategy simulation indie xbox_one pc singleplayer steam_achievements multiplayer atmospheric co-op open_world cooperative sci-fi partial_controller_support sandbox survival early_access steam_workshop space includes_level_editor crafting physics futuristic building destruction
Fortnite: Save The World,https://media.rawg.io/media/games/d97/d97f663b752a6484df105993f17abb49.jpg,2.98,805,Action|Shooter|Strategy,Xbox One|PC|PlayStation 4|Nintendo Switch|iOS,Multiplayer|Co-op|Sci-fi|Zombies|3D|Other|build|wave,action shooter strategy xbox_one pc playstation_4 nintendo_switch ios multiplayer co-op sci-fi zombies 3d other build wave
Tyranny,https://media.rawg.io/media/games/c81/c8120bf5faed7309c9812553da54da80.jpg,4.07,458,RPG,PC|Linux|macOS,Singleplayer|Steam Achievements|Steam Cloud|Atmospheric|steam-trading-cards|Great Soundtrack|RPG|Story Rich|Open World|Fantasy|Female Protagonist|Nudity|Hack and Slash|Character Customization|Turn-Based|Choices Matter|Dark Fantasy|Isometric|Real-Time with Pause|CRPG|Villain Protagonist,rpg pc linux macos singleplayer steam_achievements steam_cloud atmospheric steam-trading-cards great_soundtrack rpg story_rich open_world fantasy female_protagonist nudity hack_and_slash character_customization turn-based choices_matter dark_fantasy isometric real-time_with_pause crpg villain_protagonist
Satisfactory,https://media.rawg.io/media/games/9b0/9b03581c1ba7df63e221eb0828f8bb52.jpg,4.29,332,Action|Adventure|Strategy|Indie,PC,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|Co-op|Open World|Partial Controller Support|Online Co-Op|Sandbox|Online multiplayer|Building|Base Building|Resource Management,action adventure strategy indie pc singleplayer steam_achievements multiplayer steam_cloud co-op open_world partial_controller_support online_co-op sandbox online_multiplayer building base_building resource_management
Tales of Berseria,https://media.rawg.io/media/games/158/15880530ce424311f264671e4b0611ee.jpg,3.97,334,Action|RPG,PlayStation 4|PC|PlayStation 3,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Great Soundtrack|RPG|Co-op|Story Rich|Open World|cooperative|Fantasy|Female Protagonist|Split Screen|Local Co-Op|Action RPG|Anime|Nudity|Hack and Slash|Cute|Sexual Content|JRPG,action rpg playstation_4 pc playstation_3 singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards great_soundtrack rpg co-op story_rich open_world cooperative fantasy female_protagonist split_screen local_co-op action_rpg anime nudity hack_and_slash cute sexual_content jrpg
STAR WARS Jedi Knight: Dark Forces II,https://media.rawg.io/media/screenshots/841/841b827812b7e2bf8b00cd200f35406d.jpg,3.68,206,Action|Shooter,PC,Singleplayer|Multiplayer|Steam Cloud|Great Soundtrack|First-Person|Third Person|Sci-fi|Partial Controller Support|FPS|Classic|Local Multiplayer|Retro|Space|Star Wars|FMV,action shooter pc singleplayer multiplayer steam_cloud great_soundtrack first-person third_person sci-fi partial_controller_support fps classic local_multiplayer retro space star_wars fmv
Psychonauts 2,https://media.rawg.io/media/games/c3c/c3c536cc4d32623ba928020dfd39a648.jpg,4.38,387,Action|Adventure|Platformer,PlayStation 4|Xbox One|Xbox Series S/X|macOS|PC|Linux,Singleplayer|Full controller support,action adventure platformer playstation_4 xbox_one xbox_series_s/x macos pc linux singleplayer full_controller_support
Prince of Persia: The Two Thrones,https://media.rawg.io/media/games/dd7/dd72d8a527cd9245c7eb7cd05aa53efa.jpg,4.12,705,Action|Adventure,Wii|PlayStation 3|PC|PlayStation 2|PSP|Classic Macintosh|Xbox|GameCube,Singleplayer|Atmospheric|Great Soundtrack|Story Rich|Third Person|Partial Controller Support|Fantasy|Classic|Stealth|Hack and Slash|controller support|Parkour|Time Travel|Time Manipulation,action adventure wii playstation_3 pc playstation_2 psp classic_macintosh xbox gamecube singleplayer atmospheric great_soundtrack story_rich third_person partial_controller_support fantasy classic stealth hack_and_slash controller_support parkour time_travel time_manipulation
FlatOut 2,https://media.rawg.io/media/games/d3e/d3e2a3bc62a62bc9b70d6ebe0f54f040.jpg,4.32,644,Racing|Arcade,PC|Xbox|Linux|PlayStation 2,Singleplayer|Multiplayer|Atmospheric|Great Soundtrack|Classic|Comedy|Physics|Driving|Music|Destruction,racing arcade pc xbox linux playstation_2 singleplayer multiplayer atmospheric great_soundtrack classic comedy physics driving music destruction
Little Inferno,https://media.rawg.io/media/games/d79/d794c9198ec994cc12ede5ebd4672623.jpg,3.83,387,Adventure|Simulation|Casual|Indie|Puzzle,Wii U|Nintendo Switch|Linux|macOS|Android|iOS|PC,Singleplayer|Atmospheric|Great Soundtrack|Story Rich|2D|Funny|Sandbox|Comedy|Dark|Point & Click|Short|Surreal|Dark Humor|puzzles|Touch-Friendly|Satire|Parody|fire|lifestyle|tomorrow-corporation,adventure simulation casual indie puzzle wii_u nintendo_switch linux macos android ios pc singleplayer atmospheric great_soundtrack story_rich 2d funny sandbox comedy dark point_&_click short surreal dark_humor puzzles touch-friendly satire parody fire lifestyle tomorrow-corporation
Quake Live,https://media.rawg.io/media/screenshots/bb7/bb71799efe642c69f28c92c835a1257d.jpg,3.56,317,Action,Web|PC,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|steam-trading-cards|First-Person|Partial Controller Support|FPS|Funny|Difficult|Classic|Survival|stats|Steam Workshop|exclusive|Fast-Paced|Parkour|Competitive|true exclusive|Cult Classic|Arena Shooter|e-sports,action web pc singleplayer steam_achievements multiplayer steam_cloud steam-trading-cards first-person partial_controller_support fps funny difficult classic survival stats steam_workshop exclusive fast-paced parkour competitive true_exclusive cult_classic arena_shooter e-sports
LEGO Batman 3: Beyond Gotham,https://media.rawg.io/media/screenshots/a8c/a8cd58ee985ab6d509370bddada91dbd.jpeg,3.62,227,Action|Adventure|Family,PlayStation 4|PlayStation 3|Wii U|Nintendo 3DS|macOS|PC|iOS|Xbox One|Android|PS Vita,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|Co-op|Open World|cooperative|Third Person|Online Co-Op|Funny|Sandbox|Comedy|Free to Play|Split Screen|Local Co-Op|Controller|Space|Family Friendly|Comic Book|Superhero|Batman|LEGO,action adventure family playstation_4 playstation_3 wii_u nintendo_3ds macos pc ios xbox_one android ps_vita singleplayer steam_achievements multiplayer full_controller_support steam_cloud co-op open_world cooperative third_person online_co-op funny sandbox comedy free_to_play split_screen local_co-op controller space family_friendly comic_book superhero batman lego
Back 4 Blood,https://media.rawg.io/media/games/4fe/4feffcec6315c5f5a96442a8444431ca.jpg,3.23,329,Action|Shooter,Xbox Series S/X|Xbox One|PlayStation 4|PlayStation 5|PC,Singleplayer|Multiplayer|Full controller support|Co-op|cooperative|First-Person|Horror|FPS|Online Co-Op|Gore|Survival|Violent|PvP|Zombies|War|Survival Horror|Replay Value|Online PvP|Story|Roguelite|online|Blood|PvE|battle|Destruction|console|friends|offline|weapons|work|boss|summer,action shooter xbox_series_s/x xbox_one playstation_4 playstation_5 pc singleplayer multiplayer full_controller_support co-op cooperative first-person horror fps online_co-op gore survival violent pvp zombies war survival_horror replay_value online_pvp story roguelite online blood pve battle destruction console friends offline weapons work boss summer
Europa Universalis IV,https://media.rawg.io/media/games/eff/eff7b309ae98c32b48f22a10e7523106.jpg,4.22,393,Strategy,Linux|macOS|PC,Singleplayer|Steam Achievements|Multiplayer|Steam Cloud|steam-trading-cards|Great Soundtrack|Co-op|Open World|cooperative|Sandbox|Steam Workshop|Cross-Platform Multiplayer|Moddable|Replay Value|Historical|Medieval|RTS|Military|Real-Time with Pause|Grand Strategy|Education|4X|Political|Diplomacy,strategy linux macos pc singleplayer steam_achievements multiplayer steam_cloud steam-trading-cards great_soundtrack co-op open_world cooperative sandbox steam_workshop cross-platform_multiplayer moddable replay_value historical medieval rts military real-time_with_pause grand_strategy education 4x political diplomacy
FIFA 18,https://media.rawg.io/media/games/cb4/cb487ab3c54b81cb685388bab42ec848.jpeg,3.36,699,Sports,PlayStation 4|PC|Xbox 360|Xbox One|Nintendo Switch,Multiplayer|3D|Soccer|reality-based|hot-seat,sports playstation_4 pc xbox_360 xbox_one nintendo_switch multiplayer 3d soccer reality-based hot-seat
