name,image,rating,ratings_count,genres,platforms,tags,features
Ultima IV: Quest of the Avatar,https://media.rawg.io/media/screenshots/773/7730495e8fc0fe7e1e747cb9449399ac.jpeg,2.2,157,Adventure|RPG,iOS|Atari ST|SEGA Master System|Classic Macintosh|Apple II|Atari 8-bit|Commodore / Amiga|NES|PC|macOS,Singleplayer|role-playing,adventure rpg ios atari_st sega_master_system classic_macintosh apple_ii atari_8-bit commodore_/_amiga nes pc macos singleplayer role-playing
Survarium,https://media.rawg.io/media/screenshots/3ed/3ed77f22a7bf8139b096a90bb732e208.jpg,2.38,263,Action|RPG|Massively Multiplayer,PC,Steam Achievements|Multiplayer|Atmospheric|steam-trading-cards|RPG|Co-op|Open World|cooperative|First-Person|FPS|Exploration|Survival|Free to Play|Early Access|PvP|Zombies|Post-apocalyptic|Crafting|mmo|MMORPG,action rpg massively_multiplayer pc steam_achievements multiplayer atmospheric steam-trading-cards rpg co-op open_world cooperative first-person fps exploration survival free_to_play early_access pvp zombies post-apocalyptic crafting mmo mmorpg
Teslagrad,https://media.rawg.io/media/screenshots/351/351ee0915fcd5a64e976791794039d5c.jpg,3.34,220,Action|Adventure|Family|Indie|Puzzle|Platformer,Xbox One|Wii U|Android|PS Vita|PlayStation 4|PlayStation 3|Nintendo Switch|macOS|PC|Linux|iOS,Singleplayer|Steam Achievements|Full controller support|Steam Cloud|Atmospheric|steam-trading-cards|2D|Exploration|Difficult|controller support|Physics|Metroidvania|Steampunk|Hand-drawn|Puzzle-Platformer|puzzles,action adventure family indie puzzle platformer xbox_one wii_u android ps_vita playstation_4 playstation_3 nintendo_switch macos pc linux ios singleplayer steam_achievements full_controller_support steam_cloud atmospheric steam-trading-cards 2d exploration difficult controller_support physics metroidvania steampunk hand-drawn puzzle-platformer puzzles
Lethal League,https://media.rawg.io/media/screenshots/65b/65b9b6c96f093df897d14844e7b60819_bcrhbi4.jpg,3.6,188,Action|Sports|Indie,Xbox One|PlayStation 4|PC|Linux|macOS,Singleplayer|Steam Achievements|Multiplayer|Full controller support|Steam Cloud|steam-trading-cards|Great Soundtrack|2D|Online Co-Op|Funny|Split Screen|Local Co-Op|Pixel Graphics|Local Multiplayer|Anime|Cross-Platform Multiplayer|Fast-Paced|Competitive|4 Player Local|2D Fighter,action sports indie xbox_one playstation_4 pc linux macos singleplayer steam_achievements multiplayer full_controller_support steam_cloud steam-trading-cards great_soundtrack 2d online_co-op funny split_screen local_co-op pixel_graphics local_multiplayer anime cross-platform_multiplayer fast-paced competitive 4_player_local 2d_fighter
EA SPORTS FIFA 16,https://media.rawg.io/media/screenshots/3ea/3ea3f535b2a779ca5cd2e466a2f8abba.jpg,3.31,451,Sports,PlayStation 3|PlayStation 4|PC|Xbox One|Xbox 360,Multiplayer|online|Football|Soccer|reality-based,sports playstation_3 playstation_4 pc xbox_one xbox_360 multiplayer online football soccer reality-based
Mount & Blade: With Fire & Sword,https://media.rawg.io/media/screenshots/bf0/bf099b9650d72de1f4940b7bb41ef948.jpg,3.87,225,Action|RPG,PC,Singleplayer|Steam Achievements|Multiplayer|RPG|Open World|First-Person|Third Person|Sandbox|Action RPG|role-playing|Moddable|War|Character Customization|Historical|Medieval|overlay|Based On A Novel|Horses,action rpg pc singleplayer steam_achievements multiplayer rpg open_world first-person third_person sandbox action_rpg role-playing moddable war character_customization historical medieval overlay based_on_a_novel horses
Age of Empires II: Definitive Edition,https://media.rawg.io/media/games/945/9455733af10406794b0c1b8d117bca76.jpg,4.29,300,Strategy,PC|Xbox Series S/X,Singleplayer|Steam Achievements|Steam Cloud|Online multiplayer|Local Multiplayer|Cross-Platform Multiplayer|Includes level editor|RTS,strategy pc xbox_series_s/x singleplayer steam_achievements steam_cloud online_multiplayer local_multiplayer cross-platform_multiplayer includes_level_editor rts
Gorky 17,https://media.rawg.io/media/games/8ed/8ed70759ef0c70c42b40c7de79e798fa.jpg,3.37,187,RPG|Strategy,Linux|macOS|PC,Singleplayer|Atmospheric|RPG|Sci-fi|Horror|Classic|Tactical|role-playing|Turn-Based|Post-apocalyptic|Isometric|Turn-Based Strategy,rpg strategy linux macos pc singleplayer atmospheric rpg sci-fi horror classic tactical role-playing turn-based post-apocalyptic isometric turn-based_strategy
We Happy Few,https://media.rawg.io/media/games/537/537974990a025a3edcbe91e408e85fbc.jpg,3.15,360,Action|Adventure|Indie,Xbox One|PC|PlayStation 4,Singleplayer|Full controller support|Steam Cloud|Atmospheric|Open World|First-Person|Horror|Exploration|Survival|Stealth|Early Access|Dark|Survival Horror|Mature|Crafting|Roguelike|Dystopian|Procedural Generation|in development,action adventure indie xbox_one pc playstation_4 singleplayer full_controller_support steam_cloud atmospheric open_world first-person horror exploration survival stealth early_access dark survival_horror mature crafting roguelike dystopian procedural_generation in_development
Ken Follett's The Pillars of the Earth,https://media.rawg.io/media/games/5d4/5d4cce5d889c3f7a3c2219d5e39f2fdf.jpg,3.55,135,Adventure|Puzzle,Xbox One|PC|macOS|Linux|PlayStation 4|iOS,Point & Click,adventure puzzle xbox_one pc macos linux playstation_4 ios point_&_click
